Overriding config with config/exp1_depth.py:
# Experiment 1 - Depth sweep
# Vary: n_layer ∈ {2, 4, 8, 12}
# Fixed: n_head = 8, n_embd = 256, dropout = 0.0
# Usage: python train.py config/exp1_depth.py --n_layer=2

out_dir = 'out-exp1-depth'  # will be overridden by run script
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp1-depth'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6  # overridden via command line
n_head = 8
n_embd = 256
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp1-layer2
Overriding: n_layer = 2
Overriding: wandb_run_name = exp1-layer2
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 1.63M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 10, with 1,696,768 parameters
num non-decayed parameter tensors: 5, with 1,280 parameters
using fused AdamW: False
step 0: train loss 5.5405, val loss 5.5409
iter 0: loss 5.5428, time 14344.74ms, mfu -100.00%
iter 10: loss 4.3320, time 88.51ms, mfu 0.67%
iter 20: loss 3.7513, time 89.32ms, mfu 0.67%
iter 30: loss 3.0641, time 88.14ms, mfu 0.67%
iter 40: loss 2.6641, time 88.09ms, mfu 0.67%
iter 50: loss 2.4733, time 87.56ms, mfu 0.68%
iter 60: loss 2.3626, time 86.59ms, mfu 0.68%
iter 70: loss 2.3394, time 90.63ms, mfu 0.67%
iter 80: loss 2.3047, time 87.15ms, mfu 0.68%
iter 90: loss 2.3020, time 90.77ms, mfu 0.67%
iter 100: loss 2.2630, time 86.53ms, mfu 0.68%
iter 110: loss 2.2782, time 85.62ms, mfu 0.68%
iter 120: loss 2.2349, time 87.36ms, mfu 0.68%
iter 130: loss 2.1948, time 87.33ms, mfu 0.68%
iter 140: loss 2.1953, time 89.04ms, mfu 0.68%
iter 150: loss 2.1588, time 88.68ms, mfu 0.68%
iter 160: loss 2.1413, time 88.41ms, mfu 0.68%
iter 170: loss 2.1233, time 88.28ms, mfu 0.68%
iter 180: loss 2.0536, time 85.32ms, mfu 0.68%
iter 190: loss 2.0036, time 85.62ms, mfu 0.68%
iter 200: loss 1.9893, time 85.31ms, mfu 0.68%
iter 210: loss 1.9978, time 87.92ms, mfu 0.68%
iter 220: loss 1.8987, time 85.39ms, mfu 0.68%
iter 230: loss 1.8427, time 86.13ms, mfu 0.69%
iter 240: loss 1.8148, time 89.87ms, mfu 0.68%
step 250: train loss 1.8410, val loss 1.8388
saving checkpoint to out-exp1-layer2
iter 250: loss 1.8593, time 13652.67ms, mfu 0.62%
iter 260: loss 1.8414, time 87.18ms, mfu 0.62%
iter 270: loss 1.7011, time 86.29ms, mfu 0.63%
iter 280: loss 1.6738, time 86.99ms, mfu 0.63%
iter 290: loss 1.6827, time 86.50ms, mfu 0.64%
iter 300: loss 1.6011, time 86.58ms, mfu 0.65%
iter 310: loss 1.5561, time 85.67ms, mfu 0.65%
iter 320: loss 1.5434, time 86.04ms, mfu 0.65%
iter 330: loss 1.5130, time 87.89ms, mfu 0.66%
iter 340: loss 1.4765, time 85.87ms, mfu 0.66%
iter 350: loss 1.4614, time 86.14ms, mfu 0.66%
iter 360: loss 1.4359, time 87.33ms, mfu 0.67%
iter 370: loss 1.4158, time 87.58ms, mfu 0.67%
iter 380: loss 1.4316, time 87.04ms, mfu 0.67%
iter 390: loss 1.3785, time 85.78ms, mfu 0.67%
iter 400: loss 1.2688, time 85.94ms, mfu 0.67%
iter 410: loss 1.3534, time 85.70ms, mfu 0.68%
iter 420: loss 1.2926, time 87.82ms, mfu 0.68%
iter 430: loss 1.2912, time 85.59ms, mfu 0.68%
iter 440: loss 1.2624, time 88.00ms, mfu 0.68%
iter 450: loss 1.2685, time 86.80ms, mfu 0.68%
iter 460: loss 1.2603, time 86.48ms, mfu 0.68%
iter 470: loss 1.2893, time 87.39ms, mfu 0.68%
iter 480: loss 1.2355, time 86.92ms, mfu 0.68%
iter 490: loss 1.2084, time 87.01ms, mfu 0.68%
step 500: train loss 1.2273, val loss 1.2310
saving checkpoint to out-exp1-layer2
iter 500: loss 1.1943, time 14684.33ms, mfu 0.61%
iter 510: loss 1.2073, time 87.61ms, mfu 0.62%
iter 520: loss 1.1584, time 86.41ms, mfu 0.63%
iter 530: loss 1.2019, time 85.54ms, mfu 0.63%
iter 540: loss 1.1683, time 85.54ms, mfu 0.64%
iter 550: loss 1.1522, time 88.35ms, mfu 0.64%
iter 560: loss 1.1401, time 87.91ms, mfu 0.65%
iter 570: loss 1.1122, time 86.71ms, mfu 0.65%
iter 580: loss 1.1689, time 87.04ms, mfu 0.66%
iter 590: loss 1.1349, time 87.08ms, mfu 0.66%
iter 600: loss 1.1568, time 92.62ms, mfu 0.66%
iter 610: loss 1.0663, time 93.36ms, mfu 0.66%
iter 620: loss 1.1420, time 92.76ms, mfu 0.65%
iter 630: loss 1.0993, time 92.82ms, mfu 0.65%
iter 640: loss 1.0963, time 92.71ms, mfu 0.65%
iter 650: loss 1.1171, time 91.86ms, mfu 0.65%
iter 660: loss 1.0838, time 92.76ms, mfu 0.65%
iter 670: loss 1.1074, time 92.34ms, mfu 0.65%
iter 680: loss 1.0918, time 90.97ms, mfu 0.65%
iter 690: loss 1.0825, time 93.20ms, mfu 0.65%
iter 700: loss 1.0694, time 92.37ms, mfu 0.65%
iter 710: loss 1.0320, time 88.04ms, mfu 0.65%
iter 720: loss 1.0611, time 85.17ms, mfu 0.66%
iter 730: loss 1.0408, time 87.32ms, mfu 0.66%
iter 740: loss 1.0678, time 86.06ms, mfu 0.66%
step 750: train loss 1.0540, val loss 1.0546
saving checkpoint to out-exp1-layer2
iter 750: loss 1.0605, time 14873.59ms, mfu 0.60%
iter 760: loss 1.0675, time 87.68ms, mfu 0.61%
iter 770: loss 1.0732, time 91.43ms, mfu 0.61%
iter 780: loss 1.0735, time 87.21ms, mfu 0.62%
iter 790: loss 1.0365, time 91.04ms, mfu 0.62%
iter 800: loss 1.0207, time 91.17ms, mfu 0.62%
iter 810: loss 1.0175, time 91.85ms, mfu 0.63%
iter 820: loss 0.9842, time 89.97ms, mfu 0.63%
iter 830: loss 1.0228, time 90.37ms, mfu 0.63%
iter 840: loss 0.9911, time 90.40ms, mfu 0.64%
iter 850: loss 1.0340, time 92.11ms, mfu 0.64%
iter 860: loss 1.0470, time 91.37ms, mfu 0.64%
iter 870: loss 0.9990, time 92.35ms, mfu 0.64%
iter 880: loss 0.9692, time 91.70ms, mfu 0.64%
iter 890: loss 0.9695, time 89.66ms, mfu 0.64%
iter 900: loss 0.9764, time 90.18ms, mfu 0.65%
iter 910: loss 1.0158, time 92.81ms, mfu 0.65%
iter 920: loss 0.9845, time 91.16ms, mfu 0.65%
iter 930: loss 0.9630, time 90.79ms, mfu 0.65%
iter 940: loss 0.9659, time 90.89ms, mfu 0.65%
iter 950: loss 0.9481, time 89.57ms, mfu 0.65%
iter 960: loss 0.9664, time 90.89ms, mfu 0.65%
iter 970: loss 0.9747, time 91.18ms, mfu 0.65%
iter 980: loss 0.9905, time 89.68ms, mfu 0.65%
iter 990: loss 0.9151, time 90.78ms, mfu 0.65%
step 1000: train loss 0.9670, val loss 0.9693
saving checkpoint to out-exp1-layer2
iter 1000: loss 1.0126, time 15138.63ms, mfu 0.59%
iter 1010: loss 0.9916, time 87.49ms, mfu 0.60%
iter 1020: loss 0.9887, time 89.24ms, mfu 0.60%
iter 1030: loss 0.9586, time 86.66ms, mfu 0.61%
iter 1040: loss 0.9847, time 88.67ms, mfu 0.62%
iter 1050: loss 0.9612, time 91.31ms, mfu 0.62%
iter 1060: loss 0.9155, time 89.35ms, mfu 0.63%
iter 1070: loss 0.9883, time 89.91ms, mfu 0.63%
iter 1080: loss 0.9344, time 87.82ms, mfu 0.64%
iter 1090: loss 0.9791, time 87.90ms, mfu 0.64%
iter 1100: loss 0.9160, time 88.12ms, mfu 0.64%
iter 1110: loss 0.9135, time 90.10ms, mfu 0.65%
iter 1120: loss 0.9038, time 90.38ms, mfu 0.65%
iter 1130: loss 0.9319, time 89.21ms, mfu 0.65%
iter 1140: loss 0.9257, time 89.06ms, mfu 0.65%
iter 1150: loss 0.9339, time 87.33ms, mfu 0.65%
iter 1160: loss 0.9199, time 88.36ms, mfu 0.66%
iter 1170: loss 0.8968, time 87.93ms, mfu 0.66%
iter 1180: loss 0.9177, time 88.49ms, mfu 0.66%
iter 1190: loss 0.9057, time 88.31ms, mfu 0.66%
iter 1200: loss 0.9263, time 89.19ms, mfu 0.66%
iter 1210: loss 0.9215, time 88.24ms, mfu 0.66%
iter 1220: loss 0.9279, time 89.44ms, mfu 0.66%
iter 1230: loss 0.9057, time 89.43ms, mfu 0.66%
iter 1240: loss 0.9027, time 88.62ms, mfu 0.67%
step 1250: train loss 0.8956, val loss 0.8958
saving checkpoint to out-exp1-layer2
iter 1250: loss 0.8950, time 15123.38ms, mfu 0.60%
iter 1260: loss 0.8966, time 92.82ms, mfu 0.60%
iter 1270: loss 0.8926, time 92.88ms, mfu 0.61%
iter 1280: loss 0.8918, time 92.78ms, mfu 0.61%
iter 1290: loss 0.9033, time 92.36ms, mfu 0.61%
iter 1300: loss 0.9067, time 92.55ms, mfu 0.62%
iter 1310: loss 0.8792, time 91.61ms, mfu 0.62%
iter 1320: loss 0.9320, time 93.03ms, mfu 0.62%
iter 1330: loss 0.8870, time 90.01ms, mfu 0.63%
iter 1340: loss 0.8397, time 93.12ms, mfu 0.63%
iter 1350: loss 0.9078, time 90.64ms, mfu 0.63%
iter 1360: loss 0.8739, time 90.95ms, mfu 0.63%
iter 1370: loss 0.8900, time 91.90ms, mfu 0.64%
iter 1380: loss 0.9044, time 93.68ms, mfu 0.64%
iter 1390: loss 0.8574, time 92.84ms, mfu 0.64%
iter 1400: loss 0.9086, time 91.32ms, mfu 0.64%
iter 1410: loss 0.8945, time 95.36ms, mfu 0.64%
iter 1420: loss 0.9193, time 89.71ms, mfu 0.64%
iter 1430: loss 0.8722, time 92.97ms, mfu 0.64%
iter 1440: loss 0.8535, time 90.39ms, mfu 0.64%
iter 1450: loss 0.8613, time 91.15ms, mfu 0.64%
iter 1460: loss 0.8472, time 89.46ms, mfu 0.65%
iter 1470: loss 0.9006, time 87.33ms, mfu 0.65%
iter 1480: loss 0.9158, time 88.18ms, mfu 0.65%
iter 1490: loss 0.8736, time 87.42ms, mfu 0.66%
step 1500: train loss 0.8556, val loss 0.8551
saving checkpoint to out-exp1-layer2
iter 1500: loss 0.8493, time 14805.52ms, mfu 0.59%
iter 1510: loss 0.8700, time 89.06ms, mfu 0.60%
iter 1520: loss 0.8477, time 87.26ms, mfu 0.61%
iter 1530: loss 0.8405, time 88.14ms, mfu 0.61%
iter 1540: loss 0.8646, time 87.59ms, mfu 0.62%
iter 1550: loss 0.8635, time 91.26ms, mfu 0.62%
iter 1560: loss 0.8550, time 91.32ms, mfu 0.63%
iter 1570: loss 0.8394, time 90.21ms, mfu 0.63%
iter 1580: loss 0.8407, time 89.26ms, mfu 0.63%
iter 1590: loss 0.8295, time 87.54ms, mfu 0.64%
iter 1600: loss 0.8523, time 88.51ms, mfu 0.64%
iter 1610: loss 0.8493, time 87.74ms, mfu 0.65%
iter 1620: loss 0.8351, time 88.49ms, mfu 0.65%
iter 1630: loss 0.8094, time 92.36ms, mfu 0.65%
iter 1640: loss 0.8381, time 92.43ms, mfu 0.65%
iter 1650: loss 0.8339, time 91.75ms, mfu 0.65%
iter 1660: loss 0.8332, time 93.69ms, mfu 0.65%
iter 1670: loss 0.8667, time 90.28ms, mfu 0.65%
iter 1680: loss 0.8153, time 94.82ms, mfu 0.65%
iter 1690: loss 0.8193, time 89.58ms, mfu 0.65%
iter 1700: loss 0.8247, time 93.63ms, mfu 0.65%
iter 1710: loss 0.8354, time 89.40ms, mfu 0.65%
iter 1720: loss 0.8618, time 89.10ms, mfu 0.65%
iter 1730: loss 0.8166, time 89.27ms, mfu 0.65%
iter 1740: loss 0.8272, time 89.66ms, mfu 0.65%
step 1750: train loss 0.8356, val loss 0.8311
saving checkpoint to out-exp1-layer2
iter 1750: loss 0.8412, time 15097.81ms, mfu 0.59%
iter 1760: loss 0.8200, time 88.18ms, mfu 0.60%
iter 1770: loss 0.8274, time 91.66ms, mfu 0.60%
iter 1780: loss 0.8482, time 91.60ms, mfu 0.61%
iter 1790: loss 0.8051, time 87.05ms, mfu 0.62%
iter 1800: loss 0.8224, time 88.89ms, mfu 0.62%
iter 1810: loss 0.8080, time 88.32ms, mfu 0.63%
iter 1820: loss 0.8539, time 88.27ms, mfu 0.63%
iter 1830: loss 0.8777, time 85.91ms, mfu 0.64%
iter 1840: loss 0.7967, time 89.55ms, mfu 0.64%
iter 1850: loss 0.9004, time 87.43ms, mfu 0.65%
iter 1860: loss 0.7968, time 91.38ms, mfu 0.65%
iter 1870: loss 0.7834, time 89.80ms, mfu 0.65%
iter 1880: loss 0.8297, time 87.76ms, mfu 0.65%
iter 1890: loss 0.8248, time 89.41ms, mfu 0.65%
iter 1900: loss 0.8206, time 91.17ms, mfu 0.65%
iter 1910: loss 0.7905, time 87.39ms, mfu 0.66%
iter 1920: loss 0.8657, time 88.18ms, mfu 0.66%
iter 1930: loss 0.8384, time 88.99ms, mfu 0.66%
iter 1940: loss 0.8153, time 88.28ms, mfu 0.66%
iter 1950: loss 0.8190, time 91.17ms, mfu 0.66%
iter 1960: loss 0.7847, time 90.54ms, mfu 0.66%
iter 1970: loss 0.8178, time 88.88ms, mfu 0.66%
