Overriding config with config/exp2_width.py:
# Experiment 2 - Width sweep
# Vary: n_embd ∈ {128, 192, 256, 384}
# Fixed: n_layer = 6, n_head = 8, dropout = 0.0

out_dir = 'out-exp2-width'
eval_interval = 250
eval_iters = 200
log_interval = 10

always_save_checkpoint = False

wandb_log = False
wandb_project = 'tinystories'
wandb_run_name = 'exp2-width'

dataset = 'tinystories'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256

# baby GPT model
n_layer = 6
n_head = 8
n_embd = 256  # overridden via command line
dropout = 0.0

learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99

warmup_iters = 100

device = 'mps'
compile = False

Overriding: out_dir = out-exp2-embd384
Overriding: n_embd = 384
Overriding: wandb_run_name = exp2-embd384
tokens per iteration will be: 16,384
found vocab_size = 228 (inside data/tinystories/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.71M
/Users/fredrik/Developer/uit/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/fredrik/Developer/uit/nanoGPT/.venv/lib/python3.12/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 26, with 10,802,688 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 5.4899, val loss 5.4898
iter 0: loss 5.4947, time 60357.05ms, mfu -100.00%
iter 10: loss 3.5334, time 448.94ms, mfu 0.83%
iter 20: loss 2.9183, time 443.20ms, mfu 0.84%
iter 30: loss 2.5277, time 447.98ms, mfu 0.84%
iter 40: loss 2.3979, time 443.87ms, mfu 0.84%
iter 50: loss 2.3280, time 442.97ms, mfu 0.84%
iter 60: loss 2.3344, time 447.93ms, mfu 0.84%
iter 70: loss 2.2828, time 445.83ms, mfu 0.84%
iter 80: loss 2.2728, time 445.01ms, mfu 0.84%
iter 90: loss 2.2568, time 491.46ms, mfu 0.83%
iter 100: loss 2.1783, time 434.89ms, mfu 0.83%
iter 110: loss 2.1718, time 445.93ms, mfu 0.83%
iter 120: loss 2.1025, time 447.78ms, mfu 0.83%
iter 130: loss 2.0478, time 444.33ms, mfu 0.84%
iter 140: loss 2.0474, time 462.57ms, mfu 0.83%
iter 150: loss 1.9474, time 446.48ms, mfu 0.83%
iter 160: loss 1.8478, time 449.26ms, mfu 0.83%
iter 170: loss 1.7787, time 457.51ms, mfu 0.83%
iter 180: loss 1.7098, time 443.40ms, mfu 0.83%
iter 190: loss 1.6688, time 445.27ms, mfu 0.83%
iter 200: loss 1.5555, time 450.99ms, mfu 0.83%
iter 210: loss 1.5409, time 450.40ms, mfu 0.83%
iter 220: loss 1.5094, time 450.98ms, mfu 0.83%
iter 230: loss 1.4729, time 446.85ms, mfu 0.83%
iter 240: loss 1.4370, time 449.79ms, mfu 0.83%
step 250: train loss 1.4153, val loss 1.4109
saving checkpoint to out-exp2-embd384
iter 250: loss 1.3951, time 61919.37ms, mfu 0.75%
iter 260: loss 1.3341, time 455.83ms, mfu 0.76%
iter 270: loss 1.3574, time 445.45ms, mfu 0.77%
iter 280: loss 1.3241, time 448.12ms, mfu 0.77%
iter 290: loss 1.2632, time 458.74ms, mfu 0.78%
iter 300: loss 1.2822, time 456.16ms, mfu 0.78%
iter 310: loss 1.2493, time 457.44ms, mfu 0.79%
iter 320: loss 1.2122, time 449.02ms, mfu 0.79%
iter 330: loss 1.1861, time 451.55ms, mfu 0.79%
iter 340: loss 1.1950, time 444.64ms, mfu 0.80%
iter 350: loss 1.1745, time 450.87ms, mfu 0.80%
iter 360: loss 1.1726, time 463.55ms, mfu 0.80%
iter 370: loss 1.1347, time 456.10ms, mfu 0.80%
iter 380: loss 1.0674, time 463.22ms, mfu 0.81%
iter 390: loss 1.1316, time 458.73ms, mfu 0.81%
iter 400: loss 1.1009, time 457.10ms, mfu 0.81%
iter 410: loss 1.1050, time 456.76ms, mfu 0.81%
iter 420: loss 1.0597, time 464.00ms, mfu 0.81%
iter 430: loss 1.0458, time 455.78ms, mfu 0.81%
iter 440: loss 1.0552, time 452.59ms, mfu 0.81%
iter 450: loss 1.0963, time 451.74ms, mfu 0.81%
iter 460: loss 1.0582, time 471.51ms, mfu 0.81%
iter 470: loss 1.0148, time 461.29ms, mfu 0.81%
iter 480: loss 1.0382, time 463.46ms, mfu 0.81%
iter 490: loss 0.9899, time 457.60ms, mfu 0.81%
